name,address,contacts,coords,category,lat,lon,schedule,query,city
Shymbulak Ski Resort,"ул. Горная 640, Алматы",+7 727 232 5969,"43.197,76.910",Горнолыжный курорт,,,,,
Eco Nomad Camp,Бурабай,+7 705 234 5678,"53.081,70.319",,,,,,
Alatau Guest House,,+7 708 345 6789,,Гостевой дом,,,,,
Luxury Glamping Almaty,"Каскелен, Алматинская область",,"43.178,76.730",Глэмпинг люкс,,,,,
Nomad Yurt Village,Туркестан,,"43.298,68.272",Юрты / Этно,,,,,
Green Valley Lodge,г. Караганда,,,Эко-гостиница,,,,,
Altai Mountains Basecamp,"ВКО, Катон-Карагай",+7 705 666 7788,,,,,,,
Lake Balkhash Resort,"Берег озера Балхаш, Карагандинская область",,"46.845,74.995",Туристическая база,,,,,
Nomad Eco Resort,,,+7 707 345 2234,Эко-глэмпинг,,,,,
Saryarka Camp,Кокшетау,,,,,,,,
Golden Steppe Hotel,,,+7 7172 44 55 66,,,,,,
Forest Harmony,"п. Щучинск, Бурабайский район",+7 700 987 6543,,Эко-отель,,,,,
Zerenda Park Resort,"с. Зеренда, Акмолинская область",,"52.920,69.125",Туристическая база,,,,,
Aul Heritage Complex,"Жамбылская область, Тараз",,,Этно-комплекс,,,,,
Dream Camp,"Астана, район Есиль",+7 705 999 9999,,,,,,,
Магазин спорттоваров «NomadSport»,"г. Алматы, ТРЦ Mega Park",+7 707 111 2222,"43.238,76.945",Магазин,,,,,
ТОО ЭкоТурСервис,,,,,,,,,
Hostel123,Астана,,+7 777 777 7777,Хостел,,,,,
ТОО Nomad Construction,г. Алматы,,,Строительная компания,,,,,
"Zoe, пекарня","Мясницкая street, 13 ст20",,,,55.763945,37.634077,"{'Fri': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}, 'Mon': {'working_hours': [{'from': '08:00', 'to': '19:00'}]}, 'Sat': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}, 'Sun': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}, 'Thu': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}, 'Tue': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}, 'Wed': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}}",кофейня,Алматы
Gussi Coffee,"Ленина avenue, 70",,,,56.481276,84.948916,"{'Fri': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Mon': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Sat': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Sun': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Thu': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Tue': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Wed': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}}",кофейня,Алматы
"Кофеstory, кофейня","Ленинский avenue, 25 к1",,,,69.350659,88.197185,"{'Fri': {'working_hours': [{'from': '08:00', 'to': '23:00'}]}, 'Mon': {'working_hours': [{'from': '08:00', 'to': '23:00'}]}, 'Sat': {'working_hours': [{'from': '09:00', 'to': '23:00'}]}, 'Sun': {'working_hours': [{'from': '09:00', 'to': '23:00'}]}, 'Thu': {'working_hours': [{'from': '08:00', 'to': '23:00'}]}, 'Tue': {'working_hours': [{'from': '08:00', 'to': '23:00'}]}, 'Wed': {'working_hours': [{'from': '08:00', 'to': '23:00'}]}}",кофейня,Алматы
"Bloom coffee, кофейня","Мира avenue, 111",,,,56.010249,92.840574,"{'Fri': {'working_hours': [{'from': '07:30', 'to': '21:00'}]}, 'Mon': {'working_hours': [{'from': '07:30', 'to': '21:00'}]}, 'Sat': {'working_hours': [{'from': '07:30', 'to': '21:00'}]}, 'Sun': {'working_hours': [{'from': '07:30', 'to': '21:00'}]}, 'Thu': {'working_hours': [{'from': '07:30', 'to': '21:00'}]}, 'Tue': {'working_hours': [{'from': '07:30', 'to': '21:00'}]}, 'Wed': {'working_hours': [{'from': '07:30', 'to': '21:00'}]}}",кофейня,Алматы
"Центральная, кофейня","Ленина avenue, 57",,,,53.34597,83.777944,"{'Fri': {'working_hours': [{'from': '07:00', 'to': '24:00'}]}, 'Mon': {'working_hours': [{'from': '07:00', 'to': '24:00'}]}, 'Sat': {'working_hours': [{'from': '07:00', 'to': '24:00'}]}, 'Sun': {'working_hours': [{'from': '07:00', 'to': '24:00'}]}, 'Thu': {'working_hours': [{'from': '07:00', 'to': '24:00'}]}, 'Tue': {'working_hours': [{'from': '07:00', 'to': '24:00'}]}, 'Wed': {'working_hours': [{'from': '07:00', 'to': '24:00'}]}}",кофейня,Алматы
"Campus, кафе","Савушкина street, 6 к1",,,,46.374659,48.049413,"{'Fri': {'working_hours': [{'from': '07:00', 'to': '23:00'}]}, 'Mon': {'working_hours': [{'from': '07:00', 'to': '23:00'}]}, 'Sat': {'working_hours': [{'from': '09:00', 'to': '23:00'}]}, 'Sun': {'working_hours': [{'from': '09:00', 'to': '23:00'}]}, 'Thu': {'working_hours': [{'from': '07:00', 'to': '23:00'}]}, 'Tue': {'working_hours': [{'from': '07:00', 'to': '23:00'}]}, 'Wed': {'working_hours': [{'from': '07:00', 'to': '23:00'}]}}",кофейня,Алматы
"Opetit Friedlander, французская кофейня","канала Грибоедова Embankment, 47",,,,59.930745,30.318982,"{'Fri': {'working_hours': [{'from': '09:00', 'to': '21:00'}]}, 'Mon': {'working_hours': [{'from': '09:00', 'to': '21:00'}]}, 'Sat': {'working_hours': [{'from': '09:00', 'to': '21:00'}]}, 'Sun': {'working_hours': [{'from': '09:00', 'to': '21:00'}]}, 'Thu': {'working_hours': [{'from': '09:00', 'to': '21:00'}]}, 'Tue': {'working_hours': [{'from': '09:00', 'to': '21:00'}]}, 'Wed': {'working_hours': [{'from': '09:00', 'to': '21:00'}]}}",кофейня,Алматы
"Traveler`s coffee, кофейни","Ленина avenue, 38",,,,61.25473,73.393637,"{'Fri': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Mon': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Sat': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Sun': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Thu': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Tue': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Wed': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}}",кофейня,Алматы
"Кофе Брют, городская кофейня","50 лет Октября street, 44",,,,57.144488,65.581912,"{'Fri': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Mon': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Sat': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Sun': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Thu': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Tue': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Wed': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}}",кофейня,Алматы
"Дом Флоу, магазин-кофейня","Садовая street, 21а",,,,59.930096,30.325281,"{'Fri': {'working_hours': [{'from': '09:00', 'to': '21:00'}]}, 'Mon': {'working_hours': [{'from': '09:00', 'to': '21:00'}]}, 'Sat': {'working_hours': [{'from': '09:00', 'to': '21:00'}]}, 'Sun': {'working_hours': [{'from': '09:00', 'to': '21:00'}]}, 'Thu': {'working_hours': [{'from': '09:00', 'to': '21:00'}]}, 'Tue': {'working_hours': [{'from': '09:00', 'to': '21:00'}]}, 'Wed': {'working_hours': [{'from': '09:00', 'to': '21:00'}]}}",кофейня,Алматы
"Engels, кафе","Ленина avenue, 46",,,,56.839202,60.614926,"{'Fri': {'working_hours': [{'from': '08:00', 'to': '23:00'}]}, 'Mon': {'working_hours': [{'from': '08:00', 'to': '23:00'}]}, 'Sat': {'working_hours': [{'from': '08:00', 'to': '23:00'}]}, 'Sun': {'working_hours': [{'from': '08:00', 'to': '23:00'}]}, 'Thu': {'working_hours': [{'from': '08:00', 'to': '23:00'}]}, 'Tue': {'working_hours': [{'from': '08:00', 'to': '23:00'}]}, 'Wed': {'working_hours': [{'from': '08:00', 'to': '23:00'}]}}",кофейня,Алматы
"Engels, кафе","8 Марта street, 169",,,,56.803982,60.61218,"{'Fri': {'working_hours': [{'from': '08:00', 'to': '23:00'}]}, 'Mon': {'working_hours': [{'from': '08:00', 'to': '23:00'}]}, 'Sat': {'working_hours': [{'from': '08:00', 'to': '23:00'}]}, 'Sun': {'working_hours': [{'from': '08:00', 'to': '23:00'}]}, 'Thu': {'working_hours': [{'from': '08:00', 'to': '23:00'}]}, 'Tue': {'working_hours': [{'from': '08:00', 'to': '23:00'}]}, 'Wed': {'working_hours': [{'from': '08:00', 'to': '23:00'}]}}",кофейня,Алматы
Кофейная мануфактура,"Карла Маркса street, 127",,,,56.009908,92.866811,"{'Fri': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Mon': {'working_hours': [{'from': '07:30', 'to': '21:00'}]}, 'Sat': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Sun': {'working_hours': [{'from': '07:30', 'to': '21:00'}]}, 'Thu': {'working_hours': [{'from': '07:30', 'to': '21:00'}]}, 'Tue': {'working_hours': [{'from': '07:30', 'to': '21:00'}]}, 'Wed': {'working_hours': [{'from': '07:30', 'to': '21:00'}]}}",кофейня,Алматы
"Smith, кофейня","Карла Маркса street, 134",,,,56.009554,92.841014,"{'Fri': {'working_hours': [{'from': '08:00', 'to': '21:45'}]}, 'Mon': {'working_hours': [{'from': '08:00', 'to': '21:45'}]}, 'Sat': {'working_hours': [{'from': '08:00', 'to': '21:45'}]}, 'Sun': {'working_hours': [{'from': '08:00', 'to': '21:45'}]}, 'Thu': {'working_hours': [{'from': '08:00', 'to': '21:45'}]}, 'Tue': {'working_hours': [{'from': '08:00', 'to': '21:45'}]}, 'Wed': {'working_hours': [{'from': '08:00', 'to': '21:45'}]}}",кофейня,Алматы
"Smith, кофейня","Сурикова street, 12",,,,56.010413,92.877311,"{'Fri': {'working_hours': [{'from': '08:00', 'to': '21:45'}]}, 'Mon': {'working_hours': [{'from': '08:00', 'to': '21:45'}]}, 'Sat': {'working_hours': [{'from': '08:00', 'to': '21:45'}]}, 'Sun': {'working_hours': [{'from': '08:00', 'to': '21:45'}]}, 'Thu': {'working_hours': [{'from': '08:00', 'to': '21:45'}]}, 'Tue': {'working_hours': [{'from': '08:00', 'to': '21:45'}]}, 'Wed': {'working_hours': [{'from': '08:00', 'to': '21:45'}]}}",кофейня,Алматы
"Muru, кофейня","Розы Люксембург street, 27",,,,56.831551,60.613614,"{'Fri': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}, 'Mon': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}, 'Sat': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}, 'Sun': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}, 'Thu': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}, 'Tue': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}, 'Wed': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}}",кофейня,Алматы
"Surf Coffee, кофейня","Красный Путь street, 79",,,,54.99901,73.354134,"{'Fri': {'working_hours': [{'from': '06:55', 'to': '22:00'}]}, 'Mon': {'working_hours': [{'from': '06:55', 'to': '22:00'}]}, 'Sat': {'working_hours': [{'from': '06:55', 'to': '22:00'}]}, 'Sun': {'working_hours': [{'from': '06:55', 'to': '22:00'}]}, 'Thu': {'working_hours': [{'from': '06:55', 'to': '22:00'}]}, 'Tue': {'working_hours': [{'from': '06:55', 'to': '22:00'}]}, 'Wed': {'working_hours': [{'from': '06:55', 'to': '22:00'}]}}",кофейня,Алматы
"Дока-Пицца, сеть пиццерий","Ленина avenue, 26",,,,50.552406,137.011446,"{'Fri': {'working_hours': [{'from': '09:00', 'to': '21:00'}]}, 'Mon': {'working_hours': [{'from': '09:00', 'to': '21:00'}]}, 'Sat': {'working_hours': [{'from': '09:00', 'to': '21:00'}]}, 'Sun': {'working_hours': [{'from': '09:00', 'to': '21:00'}]}, 'Thu': {'working_hours': [{'from': '09:00', 'to': '21:00'}]}, 'Tue': {'working_hours': [{'from': '09:00', 'to': '21:00'}]}, 'Wed': {'working_hours': [{'from': '09:00', 'to': '21:00'}]}, 'comment': 'служба доставки: пн-вс 9:00-20:30'}",кофейня,Алматы
"Traveler`s coffee, кофейня","Мира avenue, 111",,,,56.010249,92.840574,"{'Fri': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Mon': {'working_hours': [{'from': '07:30', 'to': '22:00'}]}, 'Sat': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Sun': {'working_hours': [{'from': '07:30', 'to': '22:00'}]}, 'Thu': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Tue': {'working_hours': [{'from': '07:30', 'to': '22:00'}]}, 'Wed': {'working_hours': [{'from': '07:30', 'to': '22:00'}]}}",кофейня,Алматы
"Nofilters, кофейня","Тверская street, 15",,,,55.762723,37.607488,"{'Fri': {'working_hours': [{'from': '09:00', 'to': '22:00'}]}, 'Mon': {'working_hours': [{'from': '09:00', 'to': '22:00'}]}, 'Sat': {'working_hours': [{'from': '10:00', 'to': '22:00'}]}, 'Sun': {'working_hours': [{'from': '10:00', 'to': '22:00'}]}, 'Thu': {'working_hours': [{'from': '09:00', 'to': '22:00'}]}, 'Tue': {'working_hours': [{'from': '09:00', 'to': '22:00'}]}, 'Wed': {'working_hours': [{'from': '09:00', 'to': '22:00'}]}}",кофейня,Алматы
"Дана, глэмпинг",,,,,,,,глэмпинг,Алматы
"Дом, мебельный центр","улица Кузоваткина, 3 ст9",,,,,,,Дом,Алматы
"ДЕКОРАДО, строительный гипермаркет","Северная улица, 39 ст20",,,,,,,Дом,Алматы
"Дом, магазин мебели","улица Интернациональная, 93 ст1",,,,,,,Дом,Алматы
"Ионас, магазин хозяйственных товаров","улица 2П-2, 23",,,,,,,Дом,Алматы
"Промэлектроснабжение, компания","Индустриальная улица, 30 ст8",,,,,,,Дом,Алматы
"Ионас, магазин хозяйственных товаров","улица Ленина, 10п ст10",,,,,,,Дом,Алматы
"ДомоСтрой, магазин строительных, отделочных материалов и товаров для дома","Индустриальная улица, 85 ст17",,,,,,,Дом,Алматы
"Строительный двор, магазин строительных и отделочных материалов","Индустриальная улица, 34 к2",,,,,,,Дом,Алматы
"Строительный двор, магазин строительных и отделочных материалов","Лесная улица, 41",,,,,,,Дом,Алматы
"ДомоСтрой, магазин строительных, отделочных материалов и товаров для дома","Зимняя улица, 9 ст5",,,,,,,Дом,Алматы
"ДЕКОРАДО, строительный гипермаркет","Молодёжная улица, 34",,,,,,,Дом,Алматы
"Камерун, магазин","Индустриальная улица, 85 ст5",,,,,,,Дом,Алматы
"Ронокс, магазин обуви","улица Маршала Жукова, 34",,,,,,,Дом,Алматы
"Цветы от Анны, магазин","улица Ленина, 14",,,,,,,Дом,Алматы
Fix price,"Ханты-Мансийская улица, 24",,,,,,,Дом,Алматы
"Фиалка, торговый дом","Мира, 5п ст7",,,,,,,Дом,Алматы
"Спецмонтаж-2, магазин спецодежды и инструментов","Индустриальная улица, 7 ст1",,,,,,,Дом,Алматы
"Галамарт, магазин постоянных распродаж","улица Чапаева, 27",,,,,,,Дом,Алматы
"1000 мелочей, магазин хозяйственных товаров","Мира, 102",,,,,,,Дом,Алматы
"Парфюм-Лидер, магазин парфюмерии и косметики","улица Ленина, 15/1",,,,,,,Дом,Алматы
"kari Гипер, магазин обуви и аксессуаров с ювелирным отделом","улица Ленина, 15п",,,,,,,Дом,Алматы
"Лэтуаль, магазин парфюмерии и косметики","Мира, 27в",,,,,,,Дом,Алматы
"Галамарт, магазин постоянных распродаж","улица Ленина, 8",,,,,,,Дом,Алматы
"Famshop, магазин одежды, обуви и аксессуаров","Ханты-Мансийская улица, 14а ст1",,,,,,,Дом,Алматы
"Familia, офф-прайс магазин","улица Ленина, 15п",,,,,,,Дом,Алматы
"Галамарт, магазин постоянных распродаж","Северная улица, 15",,,,,,,Дом,Алматы
Автогалактика,"Индустриальная улица, 26а",,,,,,,Дом,Алматы
"Выгода Маркет, магазин одежды, обуви и аксессуаров","Мира, 4п",,,,,,,Дом,Алматы
"Магнит косметик, магазин","Героев Самотлора, 20а",,,,,,,Дом,Алматы
"Pandashop, магазин корейской косметики","улица Чапаева, 6",,,,,,,Дом,Алматы
"Бюро, магазин канцелярских товаров","Индустриальная улица, 63 ст7",,,,,,,Дом,Алматы
"KuchenLand Home, магазин товаров для дома","улица Ленина, 15п",,,,,,,Дом,Алматы
"Espresso, магазин чая и кофе","проезд Куропаткина, 1",,,,,,,Дом,Алматы
"Алиса Керамика, творческая студия для взрослых и детей","проспект Победы, 28",,,,,,,Дом,Алматы
"Askona, фирменный салон матрасов и кроватей","Индустриальная улица, 46 ст1",,,,,,,Дом,Алматы
"Магнит косметик, магазин","улица Нефтяников, 3Б",,,,,,,Дом,Алматы
"Тара для Бара, магазин упаковки","улица Ленина, 11п ст6",,,,,,,Дом,Алматы
"Блеск, магазин","Северная улица, 39 ст32",,,,,,,Дом,Алматы
"Nl International, магазин","улица Ленина, 3",,,,,,,Дом,Алматы
"Бобер, хозяйственный магазин","Омская улица, 43",,,,,,,Дом,Алматы
"Лэтуаль, магазин парфюмерии и косметики","улица Ленина, 15п",,,,,,,Дом,Алматы
Fix price,"улица Чапаева, 27",,,,,,,Дом,Алматы
"Мир цветов, магазин","Мира, 27Б",,,,,,,Дом,Алматы
"Бюро, магазин канцелярских товаров","Мира, 58",,,,,,,Дом,Алматы
"ДомоСтрой, магазин строительных, отделочных материалов и товаров для дома","улица Александра Жагрина, 21 ст1",,,,,,,Дом,Алматы
Fix price,"улица Ленина, 8",,,,,,,Дом,Алматы
"АльфаВэск, торговая компания","9 П, 11",,,,,,,Дом,Алматы
Fix price,"улица Ленина, 17а",,,,,,,Дом,Алматы
"Бюро, магазин канцелярских товаров","Мира, 93",,,,,,,Дом,Алматы
"Унция, чайный магазин","Северная улица, 15",,,,,,,Дом,Алматы
"Обжора-сан, ресторан японской кухни","улица Ленина, 12а",,,,,,,Кафе,Алматы
"ПиццаФабрика, семейный ресторан","Профсоюзная улица, 8",,,,,,,Кафе,Алматы
"Шашлыкоff, гриль-бар","улица Ленина, 15п",,,,,,,Кафе,Алматы
"ПиццаФабрика, семейный ресторан","Мусы Джалиля, 13",,,,,,,Кафе,Алматы
"TomYumBar, кафе паназиатской кухни","улица Чапаева, 24",,,,,,,Кафе,Алматы
"Культура, бургер-гриль-бар","Омская улица, 43",,,,,,,Кафе,Алматы
"Молодость простит, ресторан-клуб","улица Пикмана, 39",,,,,,,Кафе,Алматы
"Перчини, ресторан итальянской кухни","улица Чапаева, 27",,,,,,,Кафе,Алматы
"Brooklyn Bowl, боулинг-ресторан","улица Ленина, 15п",,,,,,,Кафе,Алматы
"Евразия mix, кафе","улица Романтиков, 7а",,,,,,,Кафе,Алматы
"Золотая долина, кафе","улица Лопарева, 143",,,,,,,Кафе,Алматы
"Буфет 31, кафе","улица Пикмана, 31",,,,,,,Кафе,Алматы
"БАРКАС, семейное кафе","проспект Победы, 19Б",,,,,,,Кафе,Алматы
Трактиръ на Северной,"Северная улица, 9п/2",,,,,,,Кафе,Алматы
"Вкусный дом, кафе узбекской кухни","улица 2П-2, 21 ст25",,,,,,,Кафе,Алматы
"У Надира, кафе","улица 2П-2, 21 ст21",,,,,,,Кафе,Алматы
"Хука плэйс, центр паровых коктейлей","улица Ленина, 17а",,,,,,,Кафе,Алматы
"Пивная №1, гриль-бар","улица Интернациональная, 18а",,,,,,,Кафе,Алматы
"Индиго, клуб боулинга и бильярда","улица Кузоваткина, 1 ст1",,,,,,,Кафе,Алматы
"Хинкал и его друзья, кафе","улица Чапаева, 6",,,,,,,Кафе,Алматы
"Чайхона анор, плов-центр","улица Ленина, 11п ст4",,,,,,,Кафе,Алматы
"Мята Lounge, лаундж-кафе","Северная улица, 25В",,,,,,,Кафе,Алматы
"Обжора-сан, ресторан японской кухни","улица Чапаева, 27",,,,,,,Кафе,Алматы
"Неолит, кафе","улица 2П-2, 23 ст21",,,,,,,Кафе,Алматы
"Синьор Винченцо, семейное кафе-пиццерия","Ханты-Мансийская улица, 25",,,,,,,Кафе,Алматы
"Джусто Густо, итальянское кафе","улица Ленина, 10п",,,,,,,Кафе,Алматы
Суши-хаус,"улица 60 лет Октября, 52",,,,,,,Кафе,Алматы
"The LOFT, центр паровых коктейлей","Мусы Джалиля, 15",,,,,,,Кафе,Алматы
"Сегодня Можно, гриль-бар","улица Нефтяников, 19",,,,,,,Кафе,Алматы
"Шампуроff, гриль-бар","улица 60 лет Октября, 2в",,,,,,,Кафе,Алматы
"Лимон, развлекательный центр","Северная улица, 55",,,,,,,Кафе,Алматы
"Холостяк, кафе-бар","улица Чапаева, 6",,,,,,,Кафе,Алматы
"Казан Гриль, кафе","улица Ленина, 8",,,,,,,Кафе,Алматы
"Обжорка, кафе","улица Ленина, 12а",,,,,,,Кафе,Алматы
"Гуленьки&Блинотека, пельменная","Омская улица, 10",,,,,,,Кафе,Алматы
"Мадина, кафе-халяль","Мира, 62Б ст1",,,,,,,Кафе,Алматы
"Julius Meinl, кофейня","Мусы Джалиля, 25",,,,,,,Кафе,Алматы
"Душанбе, чайхана","Мира, 11",,,,,,,Кафе,Алматы
"Дубай, кафе","улица Фурманова, 7Б",,,,,,,Кафе,Алматы
"Тепло, кофейня","улица Чапаева, 27",,,,,,,Кафе,Алматы
"Bierkeller, паб в ирландском стиле","улица Ленина, 15",,,,,,,Кафе,Алматы
"Brooklyn, лаундж-кафе","Советская улица, 4",,,,,,,Кафе,Алматы
"Холостяк, кафе-бар","улица 60 лет Октября, 12а к2 ст1",,,,,,,Кафе,Алматы
"Bas, ресторан-клуб","улица Кузоваткина, 39 ст14",,,,,,,Кафе,Алматы
"Советский, спецбуфет","улица Чапаева, 3",,,,,,,Кафе,Алматы
"Посейдон, кафе","улица Ленина, 34а",,,,,,,Кафе,Алматы
"The dym, лаундж-бар","Профсоюзная улица, 2",,,,,,,Кафе,Алматы
"Gagawa, кафе","улица Ленина, 8",,,,,,,Кафе,Алматы
"86 регион, кафе","улица Ленина, 11п ст10",,,,,,,Кафе,Алматы
"Шашлык у Хази, кафе","Индустриальная улица, 74 ст2",,,,,,,Кафе,Алматы
"Архитектор, апарт-отель",,,,,,,,Отель,Алматы
"Komfi, апарт-отель",,,,,,,,Отель,Алматы
"Жемчужина Сибири, гостиница","улица 60 лет Октября, 6а",,,,,,,Отель,Алматы
"Надежда, гостиничный комплекс","Северная улица, 39",,,,,,,Отель,Алматы
"Обь грин хаус, гостиница","улица 60 лет Октября, 2г",,,,,,,Отель,Алматы
"Park side inn, СПА-отель, пространство для мероприятий","Индустриальная улица, 46",,,,,,,Отель,Алматы
"Берёзка, гостиничный комплекс","Индустриальная улица, 13",,,,,,,Отель,Алматы
"Варта, гостиница","улица Кузоваткина, 3 ст7",,,,,,,Отель,Алматы
"Сураханы, гостиничный комплекс","Ягельный переулок, 8",,,,,,,Отель,Алматы
"Grace, мотель-сауна","улица Кузоваткина, 39 ст15",,,,,,,Отель,Алматы
"Альберта хаус, гостиничный комплекс","улица Интернациональная, 40",,,,,,,Отель,Алматы
"Авиатор, гостиничный комплекс","улица Авиаторов, 3а",,,,,,,Отель,Алматы
"Европа, гостиничный комплекс","улица Авиаторов, 15",,,,,,,Отель,Алматы
"Абсолют, хостел","Пермская улица, 23а",,,,,,,Отель,Алматы
"Крал, банно-гостевой комплекс","Индустриальная улица, 74/1",,,,,,,Отель,Алматы
"Алишка, гостиничный комплекс","улица 2П-2, 28а",,,,,,,Отель,Алматы
"Адрия, гостиничный комплекс","улица Губкина, 18",,,,,,,Отель,Алматы
"Юсинка, гостиница","Индустриальная улица, 97 ст2",,,,,,,Отель,Алматы
"Версаль, гостиничный комплекс","переулок Лесников, 2",,,,,,,Отель,Алматы
"Акватория, гостиница","улица Ленина, 34а",,,,,,,Отель,Алматы
"Гостиный двор, гостиничный комплекс","Нефтеразведочная улица, 1",,,,,,,Отель,Алматы
"Метелица, гостиница-хостел","улица Интернациональная, 22п ст2",,,,,,,Отель,Алматы
"РЖД, Комнаты отдыха","Северная улица, 37",,,,,,,Отель,Алматы
"Пит, гостиничный комплекс","улица 2П-2, 21 ст15",,,,,,,Отель,Алматы
"Звездный, гостиница-хостел","улица Чапаева, 57а",,,,,,,Отель,Алматы
"Сибирячка, гостиница","Сибирская улица, 27",,,,,,,Отель,Алматы
"Турист, гостиница","1-й микрорайон, 150",,,,,,,Отель,Алматы
"Март, гостиница","улица Строителей, 49",,,,,,,Отель,Алматы
"Олимпия, гостиница","Солнечная улица, 19Б/1",,,,,,,Отель,Алматы
"Кедр, гостиница","улица Мира, 12",,,,,,,Отель,Алматы
"Зори Ваха, гостиничный комплекс","Школьная улица, 12",,,,,,,Отель,Алматы
"Форт, спорт-отель","улица Чапаева, 3",,,,,,,Отель,Алматы
"Гарант, гостиничный комплекс","улица Лопарева, 4/3",,,,,,,Отель,Алматы
"Анапа, гостиница","Солнечная улица, 32 к2",,,,,,,Отель,Алматы
"Кудыкина гора, загородный отель","Самотлорская дорога 11 километр, 1",,,,,,,Отель,Алматы
"Прото, гостиница","Парковая улица, 12",,,,,,,Отель,Алматы
"Планета, гостиничный комплекс","Индустриальная улица, 21 ст11",,,,,,,Отель,Алматы
"Юность, гостиница","Кедровая улица, 63",,,,,,,Отель,Алматы
"Флэш, гостиница","улица Ленина, 16",,,,,,,Отель,Алматы
Спорт-отель,"улица Губкина, 18/1",,,,,,,Отель,Алматы
"Венская, гостиница","Молодёжная улица, 21",,,,,,,Отель,Алматы
Планета,"Индустриальная улица, 21а",,,,,,,Отель,Алматы
"Сибирь, гостиница","Солнечная улица, 35/2",,,,,,,Отель,Алматы
"На Северной, гостевой дом","Северная улица, 1",,,,,,,Отель,Алматы
"Архитектор, апарт-отель",,,,,,,,Отель,Алматы
Краш Шалаш,"Клубничная улица, 43",,,,,,,Отель,Алматы
"Кедр А-Фрейм, дом отдыха","улица Седьмая, 7/10",,,,,,,Отель,Алматы
"Komfi, апарт-отель",,,,,,,,Отель,Алматы
Сказочная баня,"Малиновая, 43",,,,,,,Отель,Алматы
"Dream House, гостевой дом","Центральная (Восход с/о), 245",,,,,,,Отель,Алматы
"У реки, гостевой дом","Строителей, 61",,,,,,,Отель,Алматы
"У реки, гостевой дом","Чудесная улица, 3",,,,,,,Отель,Алматы
